Sample_Name,ML
SB278344986,73
SB278344988,12
SB278344989,131
SB278344990,69
SB278344991,127
SB278344992,73
SB278344993,744
SB278344994,404
SB278344995,131
SB278344996,69
SB278344997,127
SB278344998,2604
SB278344999,95
SB278345000,405
SB278345002,216
SB278345003,73
SB278345005,131
SB278345008,95
SB278345009,73
SB278345010,2604
SB278345012,95
SB278345013,73
SB278345014,1193
SB278345017,73
SB278345018,69
SB278345021,10163
SB278345022,1193
SB278345024,10
SB278345025,69
SB278345028,95
SB278790218,131
SB278790225,404
SB278790226,131
SB278790227,95
SB278790228,1231
SB278790230,80
SB278790231,59
SB278790232,131
SB278790233,73
SB278790235,12
SB278790236,73
SB278790237,2619
SB278790239,1193
SB278790240,131
SB278790241,12
SB278790242,2604
SB278790244,6082
SB278790245,69
SB278790246,328
SB278790247,404
SB278790248,95
SB278790249,73
SB278790250,10
SB278790251,141
SB278790252,420
SB278790253,95
SB278790254,404
SB278790255,95
SB278790257,38
SB278790258,1196
SB278790259,216
SB278790260,93
SB278790261,69
SB278790262,131
SB278790263,73
SB278790264,127
SB278790265,127
SB278790267,963
SB278790270,2554
SB278790271,1193
SB278790272,372
SB278790274,998
SB278790275,95
SB278790276,131
SB278790277,95
SB278790278,95
SB278790279,127
SB278790283,-
SB278790284,636
SB278790285,-
SB278790286,127
SB278790287,131
SB278790289,131
SB278790291,1193
SB278790292,12
SB278790293,73
SB278790295,141
SB278790296,569
SB278790297,69
SB278790298,963
SB278790300,12
SB278790301,-
SB278790304,69
SB278790306,131
SB278790307,1193
SB278790308,131
SB278790314,1193
SB278790323,127
SB278790329,73
SB278790330,69
SB278790331,676
SB278790333,1193
SB278790336,127
SB278790340,95
SB278790341,73
SB278790343,349
SB278790345,-
SB278790347,69
SB278790349,131
SB278790351,73
SB278790352,131
SB278790354,998
SB278790356,404
SB278790357,1193
SB278790358,73
SB278790359,-
SB278790360,131
SB278790361,58
SB278790363,-
SB278790365,1193
SB278790366,420
SB278790367,2015
SB278790368,404
SB278790369,73
SB278790370,73
SB278790371,421
SB278790374,73
SB278790375,73
SB278790376,69
SB278790377,73
SB278790378,4173
SB278790379,73
SB278790380,10
SB278790381,1231
SB278790382,127
SB278790383,127
SB278790384,164
SB278790385,-
SB278790386,131
SB278790387,10
SB278790388,95
SB278790390,69
SB278790391,1262
SB278790392,540
SB278790394,569
SB278790395,2079
SB278790396,398
SB278790397,95
SB278790399,73
SB278790400,998
SB278790401,95
SB278790402,131
SB278790403,131
SB278790404,127
SB278790405,394
SB278790407,131
SB278790408,1193
SB278790410,69
SB278790414,95
SB278790415,1415
SB278790416,95
SB278790417,404
SB278790418,162
SB278790419,1193
SB278790420,10
SB278790421,131
SB278790422,69
SB278790424,127
SB278790426,205
SB278790427,12
SB278790428,69
SB278790429,127
SB278790430,131
SB278790432,-
SB278790434,131
SB278790436,127
SB278790437,1278
SB278790439,141
SB278790443,636
SB278790444,636
SB278790445,429
SB278790446,681
SB278790447,95
SB278790448,131
SB278790449,394
SB278790450,69
SB278790451,127
SB278790453,131
SB278790454,1193
SB278790455,62
SB278790456,127
SB278790457,7303
SB278790458,131
SB278790459,-
SB278790460,127
SB278790461,131
SB278790462,38
SB278790463,95
SB278790464,127
SB278790465,1193
SB278790466,69
SB278790467,69
SB278790468,73
SB278790469,421
SB278790470,-
SB278790471,69
SB278790472,69
SB278790473,95
SB278790474,95
SB278790475,73
SB278790476,73
SB278790477,404
SB278790478,14
SB278790479,73
SB278790481,95
SB278790482,95
SB278790483,12
SB278790484,69
SB278790489,372
SB278790490,34
SB278790491,95
SB278790492,106
SB278790493,73
SB278790497,1193
SB278790498,127
SB278790499,73
SB278790503,1061
SB278790504,131
SB278790505,131
SB278790508,73
SB278790509,1193
SB278790510,95
SB278790511,1231
SB278790512,2015
SB278790513,95
SB278790514,1193
SB278790516,69
SB278790517,1231
SB278790518,141
SB278790519,38
SB278790520,405
SB278790521,131
SB278790522,1193
SB278790523,10
SB278790524,127
SB278790525,69
SB278790528,95
SB278790529,73
SB278790531,131
SB278790532,131
SB278790535,1193
SB278790536,95
SB278790537,73
SB278790538,10
SB278790539,224
SB278790540,4267
SB278790541,1057
SB278790542,127
SB278790543,127
SB278790545,73
SB278790546,404
SB278790547,636
SB278790550,12
SB278790551,69
SB278790552,1119
SB278790553,12
SB278790554,69
SB278790555,69
SB278790556,69
SB278790557,73
SB278790558,38
SB278790559,12
SB278790561,69
SB278790562,569
SB278790563,195
SB278790564,131
SB278790565,636
SB278790566,69
SB278790568,1193
SB278790569,127
SB278790570,1193
SB278790571,73
SB278790572,95
SB278790574,131
SB278790575,73
SB278790576,12
SB278790578,127
SB278790579,62
SB278790581,2015
SB278790582,1684
SB278790583,12
SB278790584,73
SB278790585,80
SB278790588,10249
SB278790589,589
SB278790591,131
SB278790592,-
SB278790593,95
SB278790594,1193
SB278790600,131
SB278790608,2279
SB278790610,127
SB278790614,-
SB278790615,131
SB278790616,131
SB278790617,69
SB278790618,144
SB278790619,491
SB278790624,95
SB278790626,961
SB278790631,69
SB278790633,1426
SB278790635,95
SB278790636,131
SB278790638,95
SB278790639,1193
SB278790640,80
SB278790641,1193
SB278790642,131
SB278790643,10
SB278790644,744
SB278790646,12
SB278790648,141
SB278790649,420
SB278790651,95
SB278790654,-
SB278790655,420
SB278790657,73
SB278790658,141
SB278790660,127
SB278790662,73
SB278790663,101
SB278790665,12
SB278790668,95
SB278790670,73
SB278790673,1193
SB278790674,127
SB278790676,38
SB278790680,69
SB278790681,10
SB278790682,155
SB278790683,127
SB278790689,58
SB278790690,1193
SB278790691,131
SB278790692,95
SB278790695,131
SB278790696,131
SB278790697,420
SB278790698,127
SB278790699,127
SB278790700,95
SB278790702,998
SB278790703,131
SB278790704,73
SB278790705,69
SB278790707,141
SB278790708,95
SB278790709,2619
SB278790710,127
SB278790711,131
SB278790713,69
SB278790714,1610
SB278790718,1193
SB278790720,38
SB278790721,12
SB278790724,131
SB278790725,69
SB278790726,12
SB278790727,127
SB278790728,127
SB278790730,8671
SB278790731,1193
SB278790732,95
SB278790733,127
SB278790734,424
SB278790735,73
SB278790737,10
SB278790738,95
SB278790739,127
SB278790740,95
SB278790741,2604
SB278790742,73
SB278790743,131
SB278790744,963
SB278790745,1193
SB278790746,95
SB278790747,-
SB278790748,44
SB278790749,131
SB278790750,420
SB278790751,12
SB278790752,1177
SB278790753,224
SB278790754,38
SB278790755,69
SB278790756,106
SB278790757,1262
SB278790759,127
SB278790761,73
SB278790763,648
SB278790764,69
SB278790765,73
SB278790768,224
SB278790769,349
SB278790770,131
SB278790771,131
SB278790772,-
SB278790773,73
SB278790774,95
SB278790775,3188
SB278790777,58
SB278790778,141
SB278790779,62
SB278790780,95
SB278790781,69
SB278790783,131
SB278790785,1231
SB278790792,160
SB278790793,73
SB278790794,127
SB278790795,131
SB278790797,636
SB278790800,12
SB278790801,127
SB278790802,69
SB278790803,131
SB278790804,404
SB278790806,69
SB278790807,1193
SB278790808,131
SB278790809,69
SB278790810,58
SB278790811,73
SB278790812,131
SB278790813,69
SB278790814,95
SB278790815,131
SB278790816,14
SB278790817,978
SB278790818,73
SB278790819,-
SB278790820,216
SB278790821,95
SB278790822,12
SB278790823,73
SB278790824,69
SB278790825,12
SB278790827,10
SB278790828,127
SB278790829,127
SB278790830,372
SB278790831,95
SB278790832,155
SB278790833,405
SB278790834,131
SB278790835,127
SB278790836,12
SB278790837,95
SB278790838,73
SB278790839,69
SB278790840,69
SB278790841,131
SB278790842,131
SB278790844,1278
SB278790845,131
SB278790846,1643
SB278790847,69
SB278790848,62
SB278790849,69
SB278790850,59
SB278790851,131
SB278790858,73
SB278790859,-
SB278790860,12
SB278790861,131
SB278790862,404
SB278790863,6323
SB278790864,69
SB278790865,141
SB278790866,-
SB278790867,95
SB278790868,95
SB278790870,127
SB278790871,73
SB278790873,1193
SB278790875,69
SB278790876,156
SB278790882,44
SB278790883,46
SB278790887,73
SB278790888,95
SB278790889,450
SB278790890,131
SB278790891,457
SB278790892,73
SB278790894,131
SB278790896,491
SB278790897,421
SB278790898,131
SB278790899,127
SB278790900,12
SB278790901,12
SB278790902,4173
SB278790904,127
SB278790905,88
SB278790907,1193
SB278790908,4713
SB278790909,404
SB278790910,95
SB278790911,144
SB278790913,127
SB278790915,1193
SB278790916,95
SB278790917,349
SB278790918,4774
SB278790919,1193
SB278790920,73
SB278790921,537
SB278790922,393
SB278790923,95
SB278790925,2144
SB278790934,978
SB278790936,127
SB278790937,2617
SB278790939,127
SB278790940,95
SB278790942,410
SB278790943,404
SB278790944,404
SB278790981,-
SB278791080,73
SB278791081,569
SB278791082,1652
SB278791083,38
SB278791084,569
SB278791085,1193
SB278791086,73
SB278791089,131
SB278791090,1304
SB278791091,4713
SB278791092,-
SB278791095,1604
SB278791096,14
SB278791097,69
SB278791098,127
SB278791099,1193
SB278791101,127
SB278791102,95
SB278791103,372
SB278791105,69
SB278791106,12
SB278791107,127
SB278791108,1193
SB278791109,127
SB278791110,394
SB278791112,69
SB278791113,1262
SB278791114,88
SB278791115,95
SB278791185,351
SB278791186,345
SB278791187,1618
SB278791188,937
SB278791189,1248
SB278791190,4038
SB278791191,58
SB278791193,-
SB278791194,10
SB278791195,1582
SB278791196,345
SB278791197,58
SB278791198,2171
SB278791199,6969
SB278791203,569
SB278791204,23
SB278791207,48
SB278791212,10
SB278791213,2562
SB278791220,1594
SB278791223,5378
SB278791224,399
SB278791225,399
SB278791226,399
SB278791230,10066
SB278791232,1665
SB278791233,109
SB278791234,3580
SB278791235,155
SB278791236,1167
SB278791237,117
SB278791238,-
SB278791239,1844
SB278791240,3601
SB278791241,345
SB278791242,140
SB278791243,2485
SB278791244,117
SB278791245,720
SB278791246,542
SB278791247,3998
SB278791248,10
SB278791249,7804
SB278791251,1385
SB278791252,744
SB278791253,399
SB278791254,67
SB278791255,6658
SB278791256,6069
SB278791257,635
SB278791258,117
SB278791259,1972
SB278791260,88
SB278791261,3580
SB278791263,540
SB278791264,1844
SB278791265,162
SB278791266,616
SB278791271,1415
SB278791273,1972
SB278791275,616
SB278791276,10
SB278791278,1125
SB278791279,978
SB278791280,1236
SB278791281,522
SB278791282,10
SB278791283,351
SB278791284,10
SB278791286,2144
SB278791287,58
SB278791288,2556
SB278791289,58
SB278791290,34
SB278791291,3331
SB278791292,-
SB278791293,3580
SB278791294,219
SB278791295,616
SB278791296,2556
SB278791302,401
SB278791303,711
SB278791304,2521
SB278791305,101
SB278791309,101
SB278791310,6069
SB278791311,1611
SB278791312,117
SB278791316,10
SB278791317,56
SB278791318,706
SB278791319,345
SB278791320,428
SB278791321,399
SB278791322,2606
SB278791323,201
SB278791324,3234
SB278791325,10
SB278791326,38
SB278791329,457
SB278791331,401
SB278791332,-
SB278791333,1618
SB278791337,744
SB278791339,8611
SB278791340,399
SB278791341,10
SB278791343,10
SB278791344,69
SB278791345,5378
SB278791346,2175
SB278791347,5378
SB278791348,4774
SB278791349,3519
SB278791350,3580
SB278791351,681
SB278791352,1079
SB278791353,109
SB278791354,399
SB278791355,1276
SB278791361,278
SB278791367,706
SB278791368,-
SB278791370,46
SB278791371,58
SB278791372,155
SB278791374,1236
SB278791375,58
SB278791376,6488
SB278791378,117
SB278791379,135
SB278791380,23
SB278791382,616
SB278791383,131
SB278791384,746
SB278791385,681
SB278791386,155
SB278791387,155
SB278791388,155
SB278791389,1178
SB278791390,906
SB278791393,6069
SB278791394,223
SB278791395,5308
SB278791396,9295
SB278791397,399
SB278791400,5679
SB278791401,155
SB278791413,1079
SB278791417,641
SB278791418,278
SB278791419,6617
SB278791420,1684
SB278791421,349
SB278791423,10
SB278791424,3580
SB278791425,8582
SB278791426,345
SB278791427,744
SB278791428,141
SB278791429,5378
SB278791430,131
SB278791432,10
SB278791433,3234
SB278791434,164
SB278791435,101
SB278791436,1148
SB278791437,-
SB278791441,2712
SB278791442,101
SB278791443,162
SB278791444,1618
SB278791445,5308
SB278791446,3580
SB278791447,6949
SB278791456,1722
SB278791457,1316
SB278791458,409
SB278791459,607
SB278791463,-
SB278791464,155
SB278791466,48
SB278791467,155
SB278791473,345
SB278791474,4532
SB278791475,10
SB278791476,69
SB278791477,3601
SB278791478,533
SB278791479,58
SB278791480,10
SB278791484,-
SB278791485,8392
SB278791486,1079
SB278791487,117
SB278791489,5082
SB278791490,399
SB278791491,942
SB278791492,-
SB278791493,141
SB278791494,355
SB278791495,48
SB278791496,5308
SB278791499,141
SB278791500,616
SB278791502,1385
SB278791507,2485
SB278791508,1771
SB278791510,4774
SB278791511,88
SB278791512,351
SB278791513,1844
SB278791514,2556
SB278791515,-
SB278791517,1257
SB278791519,58
SB278791520,602
SB278791527,4162
SB278791529,491
SB278791530,706
SB278791532,1434
SB278791533,1844
SB278791534,-
SB278791535,1844
SB278791537,3234
SB278791538,401
SB278791539,69
SB278791541,3698
SB278791546,-
SB278791547,399
SB278791548,351
SB278791553,533
SB278791554,155
SB278791558,1193
SB278791559,1122
SB278791561,73
SB278791564,1618
SB278791568,4774
SB278791569,23
SB278791571,108
SB278791572,58
SB278791574,155
SB278791575,428
SB278791578,69
SB278791579,1122
SB278791580,38
SB278791581,1844
SB278791582,155
SB278791584,345
SB278791585,355
SB278791587,355
SB278791588,1141
SB278791589,117
SB278791590,117
SB278791591,401
SB278791593,1286
SB278791594,162
SB278791596,57
SB278791599,2025
SB278791600,429
SB278791601,58
SB278791602,1852
SB278791609,127
SB278791611,1722
SB278791612,80
SB278791613,404
SB278791615,131
SB278791617,95
SB278791618,2604
SB278791619,131
SB278791621,-
SB278791622,131
SB278791624,-
SB278791625,131
SB278791627,379
SB278791629,127
SB278791630,131
SB278791631,131
SB278791632,69
SB278791633,95
SB278791634,10276
SB278791640,2015
SB278791641,73
SB278791642,131
SB278791648,127
SB278791656,101
SB278791658,73
SB278791660,73
SB278791664,706
SB278791665,69
SB278791669,10
SB278791670,191
SB278791673,69
SB278791674,349
SB278791675,998
SB278791678,-
SB278791680,2619
SB278791681,127
