"Sample_Name","training","MLST","Human_CL1","Human_CL2","Chicken_CL1","Chicken_CL2","Pork","CL1","CL2","EL18","EL19","EL2","EL3","EL35","EL36","EL37","EL38","EL39","EL40","EL41","EL42","EL43","EL44","EL45","EL46","EL50"
"SB2710445140",1,"ST405",0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SB2710446056",1,"ST10",0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0
"SB2713433774",1,"ST399",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"SB2710196154",1,"ST127",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"SB279407079",1,"ST127",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"SB277889549",1,"ST117",0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"SB279407462",1,"ST131",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
"SB277889678",1,"ST937",0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"SB2713433483",1,"ST73",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"SB277889756",1,"ST602",0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0
"SB279407789",1,"ST38",0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
"SB2710445103",1,"ST1193",0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"SB2710442141",1,"ST4774",0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SB2713433584",1,"ST131",0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SB2710196269",1,"ST542",0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
"SB278344897",1,"ST131",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
